Planes,Time,Solution,Time [s]
10,91,Optimal,0.091
10,84,Optimal,0.084
10,99,Optimal,0.099
11,164,Optimal,0.164
11,88,Optimal,0.088
11,95,Optimal,0.095
12,95,Optimal,0.095
12,166,Optimal,0.166
12,110,Optimal,0.11
13,77,Optimal,0.077
13,77,Optimal,0.077
13,71,Optimal,0.071
14,411,Optimal,0.411
14,93,Optimal,0.093
14,98,Optimal,0.098
15,202,Optimal,0.202
15,70,Optimal,0.07
15,80,Optimal,0.08
16,91,Optimal,0.091
16,79,Optimal,0.079
16,64,Optimal,0.064
17,67,Optimal,0.067
17,61,Optimal,0.061
17,86,Optimal,0.086
18,89,Optimal,0.089
18,67,Optimal,0.067
18,79,Optimal,0.079
19,82,Optimal,0.082
19,77,Optimal,0.077
19,94,Optimal,0.094
20,88,Optimal,0.088
20,109,Optimal,0.109
20,82,Optimal,0.082
21,88,Optimal,0.088
21,77,Optimal,0.077
21,76,Optimal,0.076
22,98,Optimal,0.098
22,151,Optimal,0.151
22,95,Optimal,0.095
23,119,Optimal,0.119
23,87,Optimal,0.087
23,123,Optimal,0.123
24,101,Optimal,0.101
24,120,Optimal,0.12
24,111,Optimal,0.111
25,263,Optimal,0.263
25,128,Optimal,0.128
25,131,Optimal,0.131
26,125,Optimal,0.125
26,145,Optimal,0.145
26,233,Optimal,0.233
27,138,Optimal,0.138
27,170,Optimal,0.17
27,219,Optimal,0.219
28,157,Optimal,0.157
28,170,Optimal,0.17
28,247,Optimal,0.247
29,253,Optimal,0.253
29,184,Optimal,0.184
29,233,Optimal,0.233
30,254,Optimal,0.254
30,260,Optimal,0.26
30,231,Optimal,0.231
31,251,Optimal,0.251
31,258,Optimal,0.258
31,264,Optimal,0.264
32,239,Optimal,0.239
32,246,Optimal,0.246
32,316,Optimal,0.316
33,106,Optimal,0.106
33,279,Optimal,0.279
33,253,Optimal,0.253
34,260,Optimal,0.26
34,268,Optimal,0.268
34,258,Optimal,0.258
35,493,Optimal,0.493
35,297,Optimal,0.297
35,490,Optimal,0.49
36,1233,Optimal,1.233
36,509,Optimal,0.509
36,263,Optimal,0.263
37,455,Optimal,0.455
37,274,Optimal,0.274
37,912,Optimal,0.912
38,1187,Optimal,1.187
38,635,Optimal,0.635
38,1042,Optimal,1.042
39,896,Optimal,0.896
39,1350,Optimal,1.35
39,1049,Optimal,1.049
40,1308,Optimal,1.308
40,495,Optimal,0.495
40,1478,Optimal,1.478
41,9586,Optimal,9.586
41,2286,Optimal,2.286
41,3231,Optimal,3.231
42,640,Optimal,0.64
42,13645,Optimal,13.645
42,15408,Optimal,15.408
43,10424,Optimal,10.424
43,3030,Optimal,3.03
43,2186,Optimal,2.186
44,41603,Optimal,41.603
44,25692,Optimal,25.692
44,12981,Optimal,12.981
45,61327,Optimal,61.327
45,33212,Optimal,33.212
45,16118,Optimal,16.118
